@relation lai-linha-weka.filters.unsupervised.attribute.Remove-R3-4

@attribute ndvi numeric
@attribute sowing_days numeric
@attribute lai numeric

@data
0.205415,91,0.120668
0.210209,91,0.120668
0.21019,91,0.120668
0.219915,91,0.120668
0.215033,91,0.120668
0.210172,91,0.120668
0.219573,91,0.120668
0.246846,91,0.120668
0.480767,91,0.496529
0.338506,91,0.120668
0.277996,91,0.120668
0.253793,91,0.120668
0.234798,91,0.120668
0.234798,91,0.120668
0.229797,91,0.120668
0.219798,91,0.120668
0.235072,91,0.120668
0.225355,91,0.120668
0.225005,91,0.120668
0.244181,91,0.120668
0.266663,91,0.120668
0.427774,91,0.144159
0.309483,91,0.120668
0.275608,91,0.120668
0.266291,91,0.120668
0.255216,91,0.120668
0.234798,91,0.120668
0.234529,91,0.120668
0.245306,91,0.120668
0.250934,91,0.120668
0.259887,91,0.120668
0.280178,91,0.120668
0.31692,91,0.120668
0.402792,91,0.120668
0.317149,91,0.120668
0.286308,91,0.120668
0.270979,91,0.120668
0.259887,91,0.120668
0.254258,91,0.120668
0.275608,91,0.120668
0.286308,91,0.120668
0.301698,91,0.120668
0.364638,91,0.120668
0.442401,91,0.144159
0.524967,91,0.496529
0.393351,91,0.120668
0.329637,91,0.120668
0.287996,91,0.120668
0.275608,91,0.120668
0.279435,91,0.120668
0.360616,91,0.120668
0.421624,91,0.144159
0.501454,91,0.496529
0.564806,91,0.872389
0.620007,91,1.20127
0.459576,91,0.496529
0.377759,91,0.120668
0.327063,91,0.120668
0.32881,91,0.120668
0.376812,91,0.120668
0.513305,91,0.496529
0.593836,91,1.20127
0.650106,91,1.53015
0.693735,91,1.90601
0.513415,91,0.496529
0.391422,91,0.120668
0.364638,91,0.120668
0.421624,91,0.144159
0.553689,91,0.848898
0.652079,91,1.55364
0.679731,91,1.90601
0.667664,56,1.18822
0.73228,56,1.90169
0.727128,56,1.83751
0.709395,56,1.62663
0.73228,56,1.90169
0.746972,56,2.09217
0.728867,56,1.85902
0.703002,56,1.55431
0.755103,56,2.20246
0.755103,56,2.20246
0.735457,56,1.94193
0.748556,56,2.11339
0.756633,56,2.2236
0.753554,56,2.18118
0.730584,56,1.88042
0.750121,56,2.13447
0.755103,56,2.20246
0.759635,56,2.26547
0.755103,56,2.20246
0.725809,56,1.82129
0.750121,56,2.13447
0.753192,56,2.17623
0.751666,56,2.15541
0.758143,56,2.2446
0.753554,56,2.18118
0.730584,56,1.88042
0.761109,56,2.2862
0.761109,56,2.2862
0.761109,56,2.2862
0.761109,56,2.2862
0.746972,56,2.09217
0.720553,56,1.75752
0.726228,56,1.82643
0.734144,56,1.92524
0.73575,56,1.94568
0.748338,56,2.11045
0.740447,56,2.0062
0.706685,56,1.59574
0.697888,56,1.49785
0.677697,56,1.28655
0.705198,91,2.02346
0.70323,91,2.02346
0.721804,91,2.21139
0.72319,91,2.34648
0.6971,91,1.90601
0.717228,91,2.02346
0.726266,91,2.21139
0.724642,91,2.21139
0.720284,91,2.18497
0.724794,91,2.48154
0.735174,91,2.48154
0.712585,91,2.21139
0.712585,91,2.21139
0.712585,91,2.21139
0.723307,91,2.18497
0.720284,91,2.18497
0.712585,91,2.21139
0.704857,91,2.02346
0.709405,91,1.8884
0.718748,91,2.02346
0.724794,91,2.34648
0.726266,91,2.48154
0.724794,91,2.34648
0.715697,91,2.15853
0.708059,91,1.8884
0.71415,91,2.15853
0.733392,91,2.48154
0.727499,91,2.34648
0.726078,91,2.50797
0.727499,91,2.50797
0.724642,91,2.48154
0.727721,91,2.50797
0.721647,91,2.34648
0.730298,91,2.34648
0.738831,91,2.66947
0.731676,91,2.34648
0.730298,91,2.34648
0.730298,91,2.34648
0.721723,91,2.34648
0.708317,91,2.15853
0.677896,72,1.5124
0.720649,72,1.98253
0.723678,72,2.01913
0.719894,72,1.97349
0.715704,72,1.92376
0.739546,72,2.21837
0.7345,72,2.15362
0.726117,72,2.04892
0.7345,72,2.15362
0.742331,72,2.25466
0.737313,72,2.18955
0.742331,72,2.25466
0.743701,72,2.27266
0.746399,72,2.30839
0.738698,72,2.20739
0.73307,72,2.13552
0.735914,72,2.17163
0.742331,72,2.25466
0.745057,72,2.29058
0.740068,72,2.22513
0.740946,72,2.23656
0.743701,72,2.27266
0.742331,72,2.25466
0.742331,72,2.25466
0.740946,72,2.23656
0.730972,72,2.10912
0.745057,72,2.29058
0.746399,72,2.30839
0.738698,72,2.20739
0.746399,72,2.30839
0.740068,72,2.22513
0.728101,72,2.07339
0.727542,72,2.06648
0.733782,72,2.14452
0.742765,72,2.26035
0.73789,72,2.19697
0.740068,72,2.22513
0.730972,72,2.10912
0.724208,72,2.02558
0.709089,72,1.84698
0.214848,97,0.120668
0.210799,97,0.120668
0.240303,97,0.120668
0.306618,97,0.120668
0.399344,97,0.120668
0.448853,97,0.144159
0.473779,97,0.496529
0.44048,97,0.144159
0.27818,97,0.120668
0.231321,97,0.120668
0.210475,97,0.120668
0.23805,97,0.120668
0.264066,97,0.120668
